,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
326,2020,Male,20,2019,8,No,No,1,1,Offline,Yes,Yes,4,Intermediate,80,No,No,No,Programming,1,Single,No,Family,No,1.76,No,2.55,64,35000.0,1,1,1
327,2020,Male,22,2019,8,Yes,Yes,3,3,Online,Yes,Yes,2,Advance,98,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",2,Single,No,Family,No,3.15,No,3.71,84,5000.0,1,3,2
328,2020,Male,22,2019,8,Yes,Yes,2,2,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,"Programming, Software  Development skill",4,Single,No,Bachelor,No,4.0,No,3.62,86,50000.0,1,3,2
329,2022,Female,20,2020,2,No,Yes,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,3,Single,No,Family,No,3.58,No,3.58,14,45000.0,1,3,2
331,2020,Male,22,2019,7,Yes,Yes,6,3,Online,Yes,Yes,1,Advance,97,No,No,No,"Programming, Web development skill(Frontend)",1,Single,Yes,Family,No,3.94,No,3.91,75,40000.0,1,3,2
333,2020,Female,21,2019,8,Yes,Yes,1,1,Offline,Yes,Yes,3,Intermediate,85,No,No,No,Programming,1,Engaged,No,Family,Yes,3.32,No,3.27,88,50000.0,1,2,2
334,2022,Male,22,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Single,No,Family,No,2.8,No,2.8,11,30000.0,1,1,1
337,2022,Male,20,2020,2,Yes,Yes,3,2,Offline,Yes,Yes,4,Basic,99,No,No,No,Programming,2,Single,No,Family,No,3.68,No,3.68,11,35000.0,1,3,2
339,2020,Male,21,2019,7,Yes,No,4,3,Offline,Yes,Yes,1,Intermediate,95,No,No,No,Programming,3,Single,Yes,Bachelor,Yes,3.87,No,3.68,86,15000.0,1,3,2
340,2022,Male,21,2020,2,Yes,Yes,3,2,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Programming,1,Single,No,Family,No,3.9,No,3.9,11,20000.0,1,3,2
342,2020,Female,20,2019,8,No,Yes,3,2,Online,Yes,Yes,2,Intermediate,97,No,No,Yes,Web development skill(Frontend),2,Single,Yes,Family,No,3.14,No,3.62,95,48400.0,1,3,2
344,2020,Female,21,2019,8,Yes,Yes,2,2,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development skill(Frontend),3,Single,No,Family,No,3.46,No,3.55,88,80000.0,1,3,2
345,2020,Female,22,2019,4,No,No,1,1,Online,Yes,Yes,3,Intermediate,99,No,No,Yes,Software  Development skill,0,Single,No,Family,No,3.32,No,3.17,85,40000.0,1,2,1
346,2020,Female,21,2019,2,Yes,Yes,3,1,Offline,Yes,Yes,4,Intermediate,95,No,No,No,Programming,2,Single,No,Family,No,3.21,No,3.36,76,25000.0,1,2,2
347,2022,Male,19,2020,2,Yes,No,5,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,4,Single,No,Bachelor,No,3.93,No,3.93,11,15000.0,1,3,2
348,2019,Male,24,2017,11,No,No,6,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,"Programming, Web development skill(Frontend), Networking",3,Single,No,Family,No,3.94,No,3.76,130,40000.0,1,3,2
350,2021,Male,21,2020,5,No,No,3,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,2,Single,No,Bachelor,No,3.31,No,3.27,49,30000.0,1,2,2
351,2022,Female,19,2020,2,Yes,Yes,5,2,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Programming,1,Single,Yes,Family,No,4.0,Yes,4.0,11,35000.0,1,3,2
352,2021,Male,20,2020,3,Yes,No,1,1,Online,Yes,Yes,2,Intermediate,75,Yes,No,Yes,Programming,1,Single,No,Bachelor,Yes,2.08,No,2.68,20,50000.0,1,1,1
355,2020,Male,22,2018,12,No,No,5,2,Online,No,Yes,2,Intermediate,98,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",3,Single,No,Family,No,4.0,No,3.97,87,30000.0,1,3,2
356,2020,Male,22,2018,8,Yes,No,3,2,Online,Yes,Yes,2,Intermediate,95,No,No,No,"Programming, Web development skill(Frontend)",2,Single,No,Bachelor,No,3.57,No,3.57,90,40000.0,1,3,2
359,2020,Female,20,2019,7,No,Yes,6,2,Offline,Yes,Yes,6,Intermediate,85,Yes,No,Yes,Software  Development skill,3,Single,No,Family,No,2.88,No,2.88,68,100000.0,1,1,1
360,2022,Male,20,2020,2,Yes,No,3,4,Offline,Yes,No,6,Basic,90,Yes,No,Yes,Programming,2,Single,No,Bachelor,No,2.74,No,2.74,23,20000.0,1,1,1
362,2019,Female,22,2017,11,No,No,5,2,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,Single,No,Bachelor,No,3.42,No,3.32,122,40000.0,1,2,2
363,2019,Female,22,2017,11,No,No,5,2,Offline,Yes,Yes,3,Intermediate,99,No,No,Yes,Web development skill(Frontend),2,Single,No,Bachelor,No,3.1,No,3.08,118,40000.0,1,2,1
364,2022,Male,20,2020,2,Yes,No,3,2,Online,Yes,Yes,2,Intermediate,70,No,No,Yes,Programming,1,Single,No,Bachelor,No,3.29,No,3.29,11,40000.0,1,2,2
365,2022,Female,22,2017,2,Yes,Yes,3,3,Offline,Yes,Yes,3,Basic,100,No,No,No,Programming,2,Single,No,Family,No,3.75,No,3.75,12,50000.0,1,3,2
367,2019,Male,21,2019,8,Yes,No,4,2,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,"Cyber security, Networking",2,Single,No,Bachelor,No,3.88,No,3.71,92,30000.0,1,3,2
370,2021,Female,22,2018,2,Yes,No,4,2,Offline,Yes,Yes,3,Basic,80,Yes,No,Yes,Programming,3,Married,No,Family,Yes,2.86,No,2.86,15,50000.0,1,1,1
371,2021,Male,20,2020,3,Yes,No,1,1,Online,Yes,Yes,2,Intermediate,80,No,No,No,Programming,0,Single,Yes,Bachelor,Yes,2.63,No,3.07,27,25000.0,1,2,1
372,2020,Female,21,2018,8,No,Yes,3,2,Online,Yes,Yes,1,Intermediate,96,No,No,Yes,Web development skill(Backend),2,Single,No,Family,Yes,3.48,No,3.74,87,20000.0,1,3,2
373,2022,Male,19,2020,2,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,1,Single,No,Family,No,3.75,No,3.75,12,30000.0,1,3,2
375,2022,Female,20,2020,11,Yes,No,2,1,Offline,Yes,Yes,2,Basic,99,No,No,Yes,"Programming, Web development skill(Frontend)",2,Single,No,Family,No,4.0,No,4.0,13,40000.0,1,3,2
376,2020,Female,21,2018,8,Yes,No,2,2,Offline,Yes,Yes,2,Intermediate,80,No,No,Yes,Web development skill(Backend),1,Engaged,No,Family,Yes,3.5,No,3.63,87,90000.0,1,3,2
377,2022,Male,20,2021,2,Yes,Yes,2,2,Offline,Yes,Yes,1,Basic,90,No,No,No,i don't,1,Single,No,Family,No,3.85,No,3.85,11,30000.0,1,3,2
378,2022,Male,20,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Programming,3,Single,No,Family,No,3.51,No,3.51,11,40000.0,1,3,2
380,2022,Female,20,2020,2,Yes,Yes,3,3,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Single,No,Family,No,4.0,No,4.0,11,50000.0,1,3,2
381,2022,Male,19,2020,2,No,No,4,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,1,Single,No,Bachelor,No,3.21,No,3.21,11,40000.0,1,2,1
382,2022,Male,21,2020,2,Yes,No,4,4,Offline,Yes,Yes,1,Basic,80,Yes,Yes,Yes,Programming,1,In a relationship,Yes,Bachelor,Yes,3.1,No,3.1,14,20000.0,1,2,1
383,2021,Female,22,2019,3,Yes,Yes,3,2,Offline,Yes,Yes,4,Intermediate,70,No,No,No,Programming,2,Single,No,Family,No,3.52,No,3.77,23,25000.0,1,3,2
384,2021,Female,20,2020,3,Yes,No,2,2,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Programming,1,Single,No,Family,No,3.24,No,3.32,23,80000.0,1,2,2
385,2019,Male,23,2017,11,No,Yes,0,0,Offline,Yes,Yes,0,Intermediate,90,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",4,Single,Yes,Bachelor,Yes,3.94,Yes,3.95,126,25000.0,1,3,2
387,2021,Male,20,2020,2,Yes,Yes,1,4,Online,Yes,No,6,Intermediate,80,No,No,No,Software  Development skill,1,Single,No,Family,No,2.91,No,2.91,11,25000.0,1,1,1
389,2019,Male,23,2018,11,No,No,6,4,Online,Yes,Yes,6,Advance,90,No,No,Yes,Web development skill(Frontend),5,Single,No,Bachelor,No,3.02,No,3.05,123,40000.0,1,2,1
391,2021,Male,21,2020,4,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Programming,1,Single,Yes,Family,No,3.89,No,3.7,35,90000.0,1,3,2
394,2020,Female,22,2018,8,Yes,Yes,3,1,Offline,Yes,Yes,3,Basic,100,Yes,No,Yes,Networking,4,Single,No,Bachelor,No,2.15,No,2.54,70,25000.0,1,1,1
397,2019,Female,21,2019,8,No,Yes,5,2,Offline,Yes,Yes,3,Advance,90,Yes,No,Yes,Networking,2,Engaged,Yes,Bachelor,No,2.13,No,2.45,87,40000.0,0,0,0
398,2020,Male,22,2019,4,No,No,2,1,Offline,Yes,Yes,2,Intermediate,80,No,No,No,"Programming, Web development skill(Backend)",1,Single,No,Bachelor,Yes,3.4,No,2.8,80,35000.0,1,1,1
400,2020,Female,21,2019,8,Yes,Yes,2,2,Offline,Yes,Yes,1,Intermediate,80,No,No,Yes,Machine Learning,3,Single,Yes,Family,Yes,3.4,No,3.5,87,40000.0,1,3,2
401,2021,Male,20,2020,2,No,Yes,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Market Analysis,1,Single,Yes,Family,No,2.59,No,3.01,24,40000.0,1,2,1
